Date,Balance,Inflow,Outflow,Netflow,Netflow_Calculated,daily_decay_rate,decay_rate_ma30,decay_rate_ma90,balance_ma30,balance_ma90,day_of_week,day_name,month,month_name,year,balance_pct_of_max,balance_pct_of_min,distance_from_min,distance_from_max,balance_volatility_30d,balance_volatility_90d,balance_ma30_ratio,balance_ma90_ratio,balance_change_7d,balance_pct_change_7d,decay_volatility_30d,decay_acceleration,decay_spike_flag,Predicted_Decay,Stress_P90,Stress_P95,Stress_P85,inflow_outflow_ratio,net_flow,net_flow_pct_balance,outflow_volatility_30d,inflow_consistency,quarter,days_since_start,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
2016-12-31,10000.0,76.69585090314021,271.2054225646165,-194.50957166147631,-194.50957166147631,0.0271205422564616,0.0271205422564616,0.0271205422564616,10000.0,10000.0,5,Saturday,12,December,2016,0.4396192496000592,1.0514163131546286,489.0195492626608,12746.95662006938,137.53903712752106,137.53903712752106,1.0,1.0,-220.08392588868992,-0.022008392588868997,0.0024272595666401924,-0.0034326633985423995,1,0.0230083617997847,0,0,1,0.2827961556884686,-194.50957166147631,-0.01945095716614763,27.530603716113557,76.69585090314021,4,0,0,0,0,0,0,0,0
2017-01-01,9805.490428338524,93.50674394534046,232.2712694089696,-138.76452546362913,-138.76452546362913,0.0236878788579192,0.0254042105571904,0.0254042105571904,9902.745214169265,9902.745214169265,6,Sunday,1,January,2017,0.4310682344066745,1.030965259483669,294.5099776011848,12941.466191730857,137.53903712752106,137.53903712752106,0.990179007565338,0.990179007565338,-220.08392588868992,-0.022008392588868997,0.0024272595666401924,-0.0034326633985423995,0,0.0271702002824601,1,1,1,0.40257559268210347,-138.76452546362913,-0.014151716987310534,27.530603716113557,7.159132396523492,1,1,1,0,0,0,0,0,0
2017-01-02,9666.725902874894,431.6221299990898,307.5832305568295,124.03889944226027,124.03889944226027,0.0318187599035319,0.0275423936726376,0.0275423936726376,9824.072110404471,9824.072110404471,0,Monday,1,January,2017,0.42496787875113157,1.0163753309077068,155.74545213755482,13080.230717194487,167.41226100539612,167.41226100539612,0.9839836062112232,0.9839836062112232,-220.08392588868992,-0.022008392588868997,0.004081822584027043,0.008130881045612697,1,0.0293229371748449,1,1,1,1.4032693824618072,124.03889944226029,0.012831531656997845,37.66321080356453,1.0018370473719715,1,2,1,0,0,0,0,0,0
2017-01-03,9790.764802317157,341.41645330368675,309.10115216280093,32.31530114088582,32.31530114088582,0.0315706850694285,0.0285494665218353,0.0285494665218353,9815.745283382645,9815.745283382645,1,Tuesday,1,January,2017,0.43042086754053405,1.029416983141641,279.78435157981767,12956.191817752224,137.7022910108317,137.7022910108317,0.9974550601768591,0.9974550601768591,-220.08392588868992,-0.022008392588868997,0.0038941366136813647,-0.00024807483410339837,1,0.0304517343370355,1,1,1,1.1045460391032953,32.31530114088582,0.0033005900757863,36.345937393275115,1.3247027784612435,1,3,1,0,0,0,0,0,0
2017-01-04,9823.080103458042,339.8659595736823,305.24006941771245,34.62589015596984,34.62589015596984,0.031073763646726,0.0290543259468134,0.0290543259468134,9817.212247397723,9817.212247397723,2,Wednesday,1,January,2017,0.4318415103843496,1.0328146666200442,312.0996527207026,12923.876516611339,119.29878720813352,119.29878720813352,1.00059771103165,1.00059771103165,-220.08392588868992,-0.022008392588868997,0.003556352087386261,-0.0004969214227024989,1,0.0309293734442273,1,1,1,1.1134382200280046,34.62589015596984,0.0035249524376555178,33.43316265713554,1.5936091065129212,1,4,1,0,0,0,0,0,0
2017-01-05,9857.705993614012,312.8662696377993,292.257151324157,20.609118313642284,20.609118313642284,0.0296475824612223,0.0291532020325483,0.0291532020325483,9823.96120510044,9823.96120510044,3,Thursday,1,January,2017,0.4333637311690598,1.0364552891967929,346.725542876673,12889.250626455369,107.97708592059435,107.97708592059435,1.0034349472487791,1.0034349472487791,-220.08392588868992,-0.022008392588868997,0.0031901051734302926,-0.0014261811855037013,1,0.0308613839868428,1,1,1,1.0705170710802683,20.609118313642284,0.002090660679776128,30.046726859565517,1.823762634169271,1,5,1,0,0,0,0,0,0
2017-01-06,9878.315111927655,91.01244155617462,189.41147937252111,-98.39903781634648,-98.39903781634648,0.0191744722886815,0.0277276692119959,0.0277276692119959,9831.726048932896,9831.726048932896,4,Friday,1,January,2017,0.43426974768185606,1.0386221655162626,367.3346611903162,12868.641508141725,100.68726583560722,100.68726583560722,1.0047386453571716,1.0047386453571716,-220.08392588868992,-0.022008392588868997,0.00476504451940658,-0.010473110172540798,0,0.0240816264228962,1,0,1,0.48050119167897837,-98.39903781634649,-0.009961115504154523,45.746469979798924,1.621091887242317,1,6,1,0,0,0,0,0,0
2017-01-07,9779.91607411131,71.74518191893911,171.7820801334799,-100.03689821454078,-100.03689821454078,0.017564780600542,0.0264573081355641,0.0264573081355641,9825.2498020802,9825.2498020802,5,Saturday,1,January,2017,0.4299439365652371,1.0282763301603801,268.9356233739709,12967.04054595807,95.00097165919509,95.00097165919509,0.9953859974166467,0.9953859974166467,-220.08392588868992,-0.022008392588868997,0.005689685686074863,-0.0016096916881395001,0,0.0215745908464215,0,0,0,0.4176523061264069,-100.03689821454078,-0.010228809476121299,55.31945474342215,1.4648115460024032,1,7,1,0,0,0,0,0,0
2017-01-08,9679.879175896767,339.305762414165,299.15773686828965,40.14802554587533,40.14802554587533,0.0309051106353891,0.0269515084133225,0.0269515084133225,9809.09751028204,9809.09751028204,6,Sunday,1,January,2017,0.42554612195269764,1.0177582874903643,168.89872515942807,13067.077444172613,101.21810762982686,101.21810762982686,0.986826684692468,0.986826684692468,-125.61125244175673,-0.012810297797928749,0.005524858644016355,0.013340330034847098,1,0.0289313585549287,1,1,1,1.1342035341160217,40.14802554587533,0.004147575069515877,53.37914175485483,1.5974779427523031,1,8,1,0,0,0,0,0,0
2017-01-09,9720.027201442645,263.2413791634721,283.8313592548638,-20.58998009139168,-20.58998009139168,0.0292006754068278,0.027176425112673,0.027176425112673,9800.1904793981,9800.1904793981,0,Monday,1,January,2017,0.42731110643903786,1.0219795163903527,209.04675070530539,13026.929418626736,99.49930788278358,99.49930788278358,0.9918202326654799,0.9918202326654799,53.301298567750564,0.005513893649544688,0.005257221290114561,-0.001704435228561299,1,0.0289134999944008,1,1,1,0.9274569936688951,-20.58998009139168,-0.0021183047809100494,50.70688207633367,1.7121783728738607,1,9,1,0,0,0,0,0,0
2017-01-10,9699.437221351252,248.7447658913629,273.59688499351296,-24.852119102150056,-24.852119102150056,0.0282075009868869,0.0272701592830561,0.0272701592830561,9791.031092302932,9791.031092302932,1,Tuesday,1,January,2017,0.4264059312793321,1.0198146522947908,188.45677061391325,13047.519398718128,99.16117755345644,99.16117755345644,0.990645125106008,0.990645125106008,-91.32758096590442,-0.009327931250507682,0.004997117685784665,-0.000993174419940901,1,0.0288211273433906,1,1,1,0.909165197174159,-24.852119102150056,-0.0025622227903535875,48.15666626557333,1.8127951631728279,1,10,1,0,0,0,0,0,0
2017-01-11,9674.585102249102,270.6287360392846,262.0491694771434,8.579566562141224,8.579566562141224,0.0270863470327242,0.0272548415955284,0.0272548415955284,9781.327259798449,9781.327259798449,2,Wednesday,1,January,2017,0.42531338428426624,1.0172016599507445,163.60465151176322,13072.371517820278,100.34444658012929,100.34444658012929,0.9890871499629647,0.9890871499629647,-148.49500120893936,-0.015116949026676929,0.004764860228996292,-0.0011211539541627,1,0.0286236730703823,1,1,1,1.0327402928971678,8.579566562141224,0.000886814935365723,45.93655971883626,1.9178480746295288,1,11,1,0,0,0,0,0,0
2017-01-12,9683.164668811243,268.71403796638975,260.3375013403705,8.37653662601923,8.37653662601923,0.0268855803081505,0.0272264368811147,0.0272264368811147,9773.776291260969,9773.776291260969,3,Thursday,1,January,2017,0.42569055854566046,1.0181037295750677,172.18421807390405,13063.791951258137,99.85562877951018,99.85562877951018,0.9907291082024515,0.9907291082024515,-174.54132480276894,-0.017706079377477812,0.004563155780793964,-0.0002007667245736977,1,0.0283811237439742,1,1,1,1.032175681885598,8.37653662601923,0.000865061879304752,44.01364671387151,2.01709098728732,1,12,1,0,0,0,0,0,0
2017-01-13,9691.541205437265,68.37216133177746,164.03971065677018,-95.66754932499272,-95.66754932499272,0.0169260705990434,0.0264906964323954,0.0264906964323954,9767.902356559276,9767.902356559276,4,Friday,1,January,2017,0.42605880722023837,1.0189844523007012,180.56075469992538,13055.415414632116,98.42346694983635,98.42346694983635,0.9921824411900746,0.9921824411900746,-186.7739064903908,-0.018907465936662482,0.005176781280888194,-0.009959509709107101,0,0.0224262270319112,0,0,1,0.4168024989682926,-95.66754932499272,-0.009871242075648419,50.30460555308222,1.8476021424062699,1,13,1,0,0,0,0,0,0
