Bucket,Midpoint (Years),Cash Flow,Percentage (%)
O/N,0.0027397260273972603,3065.33108978553,16.434589330408418
1M,0.0417,1841.6079508892942,9.873670900130435
2M,0.125,231.10496738174163,1.2390554624890768
3M,0.2083,307.76386118193494,1.65005753738002
6M,0.375,36.96026515458049,0.19816025139425766
9M,0.625,1234.168962773346,6.616923090332532
1Y,0.875,508.77483854067515,2.72776587198803
2Y,1.5,749.0107426385384,4.01577630564856
3Y,2.5,74.46820400046762,0.39925682253344813
4Y,3.5,2065.723936616052,11.075255355418964
5Y,4.5,8536.78999798658,45.76948907227627
