Metric,Value
Base_EVE,17440.96313117849
EVE_ScenA,16636.77561239389
EVE_ScenB,18329.93020831039
EVE_ScenC,17307.737181852623
EVE_ScenD,17744.174110319524
ΔEVE_a,-804.1875187846017
ΔEVE_b,888.9670771318997
ΔEVE_c,-133.225949325868
ΔEVE_d,303.210979141033
ΔEVE_%_a,-4.610912325976935
ΔEVE_%_b,5.097006802008141
ΔEVE_%_c,-0.7638680749671757
ΔEVE_%_d,1.7384990545561974
Worst_Case_Scenario,(a) +200 bps Parallel
Worst_ΔEVE,-804.1875187846017
Worst_ΔEVE_%,-4.610912325976935
Effective_Duration,2.426979781996269
Effective_Convexity,12.152361900780164
