Feature,RF_Importance,XGB_Importance,LGB_Importance,Logit_Coef,Logit_Importance,Avg_Importance
balance_pct_of_max,0.1718625993493756,0.28525883,466,-1.5575686952957977,0.10146593706871448,116.63964684150294
decay_rate_ma90,0.1567550281446262,0.14189401,426,1.6608454447170555,0.1081937765464132,106.60171070434515
days_since_start,0.3004237850873855,0.41274846,310,-1.170553449554101,0.07625429491921525,77.69735663400198
decay_volatility_30d,0.04371299499756473,0.0009811101,223,1.3294206501487793,0.08660350739793754,55.78282440313591
balance_volatility_30d,1.700271833171379e-06,0.00085613714,168,-0.43392012244056943,0.028267203860335887,42.00728126031704
decay_rate_ma30,0.042667030241238975,0.005133422,137,1.60629732960698,0.10464030527308049,34.28811018940148
balance_ma30_ratio,1.4758116542094428e-05,0.00079904206,131,-0.07207434122059624,0.004695196168647472,32.75137724908538
balance_pct_change_7d,1.1389201482731566e-05,0.00023623413,89,0.12265643831946059,0.007990305974422228,22.2520594823272
balance_pct_of_min,0.14980987564884546,0.14618547,81,-1.5575686952957981,0.10146593706871451,20.34936532133129
outflow_volatility_30d,4.954808067335763e-07,0.0006797107,58,0.2380572810808731,0.015507954913227071,14.504047040274832
balance_change_7d,4.407465331517137e-06,0.00035210105,51,0.07167861679294775,0.004669417177330041,12.751256481423479
inflow_consistency,0.005845415042920649,0.0,35,-0.08802503850833708,0.005734285136015725,8.752894925044734
balance_ma90_ratio,0.0,0.0,26,-0.44531239202788936,0.02900933954430796,6.507252334886077
distance_from_min,0.11071956973432277,0.004825344,21,-1.5575686952957974,0.10146593706871447,5.304252712661646
balance_volatility_90d,2.6592795862066942e-05,0.0,21,-0.5437149000466538,0.03541965243528415,5.2588615613077865
daily_decay_rate,0.014276721845579656,5.0063765e-05,10,0.534341069954263,0.034809005561653505,2.5122839477931156
Predicted_Decay,0.00048617530476555355,0.0,9,0.39252406926523065,0.02557050782434859,2.2565141707822782
month,1.8791186721133378e-07,0.0,9,0.038487165879716116,0.002507200075925272,2.250626846996948
net_flow_pct_balance,0.0,0.0,7,-0.10307740627560333,0.006714853508519214,1.7516787133771299
inflow_outflow_ratio,0.0,0.0,5,-0.1821803023898023,0.011867916422095625,1.252966979105524
day_of_week,0.0,0.0,2,0.46299528297242926,0.030161270181582923,0.5075403175453957
decay_acceleration,3.550028945656925e-05,0.0,2,-0.3951557205410517,0.025741943577741507,0.5064443609667995
quarter,0.0,0.0,2,-0.04588222683272475,0.0029889424167565274,0.5007472356041891
Stress_P85,0.0020269872502066137,0.0,0,0.3128586777935587,0.020380801828052825,0.0056019472695648595
Stress_P90,0.0013187858199862027,0.0,0,0.17909157518212676,0.011666705007521764,0.003246372706876992
decay_spike_flag,0.0,0.0,0,0.1354009143481987,0.008820529518726387,0.0022051323796815968
Stress_P95,0.0,0.0,0,0.11339949462933559,0.007387273524715424,0.001846818381178856
