Date,Balance,KMeans_Cluster,KMeans_Core_Label,KMeans_Core_Probability
2016-12-31,10000.0,0,1,1
2017-01-01,9805.490428338524,0,1,1
2017-01-02,9666.725902874894,0,1,1
2017-01-03,9790.764802317157,0,1,1
2017-01-04,9823.080103458042,0,1,1
2017-01-05,9857.705993614012,0,1,1
2017-01-06,9878.315111927655,0,1,1
2017-01-07,9779.91607411131,0,1,1
2017-01-08,9679.879175896767,0,1,1
2017-01-09,9720.027201442645,0,1,1
2017-01-10,9699.437221351252,0,1,1
2017-01-11,9674.585102249102,0,1,1
2017-01-12,9683.164668811243,0,1,1
2017-01-13,9691.541205437265,0,1,1
2017-01-14,9595.873656112271,0,1,1
2017-01-15,9510.98045073734,0,1,1
2017-01-16,9551.56491014066,0,1,1
2017-01-17,9678.755302408284,0,1,1
2017-01-18,9706.215696382844,0,1,1
2017-01-19,10121.525685733206,0,1,1
2017-01-20,10240.351540899876,0,1,1
2017-01-21,10133.96540386214,0,1,1
2017-01-22,10039.14177112627,0,1,1
2017-01-23,10163.878204920326,0,1,1
2017-01-24,10347.539826089416,0,1,1
2017-01-25,10559.755912326063,0,1,1
2017-01-26,10695.651424386217,0,1,1
2017-01-27,10785.319897762738,0,1,1
2017-01-28,10716.022638073542,0,1,1
2017-01-29,10589.720901875891,0,1,1
2017-01-30,10597.537400447134,0,1,1
2017-01-31,10582.133288473284,0,1,1
2017-02-01,10319.741494242731,0,1,1
2017-02-02,10307.98304206539,0,1,1
2017-02-03,10279.797085005182,0,1,1
2017-02-04,10200.045671876183,0,1,1
2017-02-05,10106.653065336834,0,1,1
2017-02-06,10124.89044124474,0,1,1
2017-02-07,10127.243960458576,0,1,1
2017-02-08,10102.746918845934,0,1,1
2017-02-09,10000.444803419765,0,1,1
2017-02-10,10005.835215699351,0,1,1
2017-02-11,9921.92095578102,0,1,1
2017-02-12,9834.2340170537,0,1,1
2017-02-13,9845.47941676484,0,1,1
2017-02-14,9840.08255076959,0,1,1
2017-02-15,9837.683203276054,0,1,1
2017-02-16,10079.577715338875,0,1,1
2017-02-17,10087.307915084071,0,1,1
2017-02-18,10003.293164636283,0,1,1
2017-02-19,9925.66968552726,0,1,1
2017-02-20,10130.010292531584,0,1,1
2017-02-21,10172.890335295231,0,1,1
2017-02-22,10213.347201246725,0,1,1
2017-02-23,10627.601438040105,0,1,1
2017-02-24,10809.85835237983,0,1,1
2017-02-25,10714.033695080236,0,1,1
2017-02-26,10609.224611577789,0,1,1
2017-02-27,10750.869305468128,0,1,1
2017-02-28,10969.76592156215,0,1,1
2017-03-01,10852.236475437716,0,1,1
2017-03-02,10823.145500997289,0,1,1
2017-03-03,10777.809755247848,0,1,1
2017-03-04,10656.451140058083,0,1,1
2017-03-05,10545.70689036869,0,1,1
2017-03-06,10603.250978436226,0,1,1
2017-03-07,10629.861935718362,0,1,1
2017-03-08,10581.622766128634,0,1,1
2017-03-09,10553.872667121072,0,1,1
2017-03-10,10534.691727979,0,1,1
2017-03-11,10499.776851017314,0,1,1
2017-03-12,10398.707286759003,0,1,1
2017-03-13,10394.97985757528,0,1,1
2017-03-14,10385.46846252526,0,1,1
2017-03-15,10370.670205071769,0,1,1
2017-03-16,10425.243845359064,0,1,1
2017-03-17,10414.459630384765,0,1,1
2017-03-18,10321.49062501514,0,1,1
2017-03-19,10229.692338241404,0,1,1
2017-03-20,10360.698106083995,0,1,1
2017-03-21,10329.99036443742,0,1,1
2017-03-22,10404.93578952682,0,1,1
2017-03-23,10878.346984002714,0,1,1
2017-03-24,11103.328328181728,0,1,1
2017-03-25,10989.278795263648,0,1,1
2017-03-26,10892.49594249633,0,1,1
2017-03-27,10945.545404739998,0,1,1
2017-03-28,11030.206094627349,0,1,1
2017-03-29,11033.118319275036,0,1,1
2017-03-30,11113.388003861884,0,1,1
2017-03-31,11225.416675891818,0,1,1
2017-04-01,11007.8416349353,0,1,1
2017-04-02,10883.002136415846,0,1,1
2017-04-03,10910.143917569863,0,1,1
2017-04-04,10868.10765538453,0,1,1
2017-04-05,10868.430399288382,0,1,1
2017-04-06,10871.7599118535,0,1,1
2017-04-07,10870.695808316212,0,1,1
2017-04-08,10809.255627277533,0,1,1
2017-04-09,10708.751777016832,0,1,1
