Method,Scenario,EVE,NII,dEVE,dNII
Static Base (Section 4),Base,18553.30635580993,705.4664884321169,0.0,0.0
Static Stress (Section 4),+200bps Parallel,18502.917440983845,1078.5005847710918,-50.388914826085966,373.0340963389749
Static Stress (Section 4),-200bps Parallel,18604.99981744938,332.4323920931421,51.693461639450106,-373.0340963389748
Static Stress (Section 4),Short Rate Up,18506.15302783673,1067.7835669748308,-47.15332797319934,362.31707854271394
Static Stress (Section 4),Flattener,18507.774873174178,1062.4250580767002,-45.53148263575349,356.95856964458335
MC Path (no shock),Mean,20350.435790707634,781.786417053584,1797.1294348977021,76.31992862146717
MC Path (no shock),VaR(95%),,,-3583.0542281150224,-234.89091442428636
MC Path (no shock),ES(95%),,,-4593.572463936057,-302.1137487912723
MC Worst Shock,Mean,,,1741.9133081838452,-331.9001474308168
MC Worst Shock,VaR(95%),,,-3621.2145552302113,-595.9703178126738
MC Worst Shock,ES(95%),,,-4631.342113740239,-646.562263446659
