Day,Path_0,Path_100,Path_200,Path_300,Path_400,Path_500,Path_600,Path_700,Path_800,Path_900,Pct_5,Pct_25,Pct_50,Pct_75,Pct_95
0,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874,18651.70481694874
1,18257.726646545474,18202.655269797116,18293.281564460827,18105.2443696321,18397.65210854053,18199.190570063314,18226.565113508663,18449.85745314174,18175.4858456897,18259.342358208352,18152.11621609459,18241.76986365139,18301.89799057202,18368.1397715363,18466.67079268381
2,17932.070174197743,17837.797162722174,17912.64870583851,17843.78470385129,17954.790415395833,17881.965867933945,17932.20782303996,18140.222655167385,17791.650626864233,18109.46472101812,17752.513404559584,17875.20937261333,17961.34902173539,18050.858597900304,18186.38917716137
3,17539.281512455233,17561.343461870558,17684.033054773776,17658.485208210204,17652.20682813048,17507.26000720274,17594.19719263772,17757.92376912812,17562.346778152645,17765.140835699458,17363.042035655126,17522.92759979075,17629.962781663045,17748.122515476283,17893.71010296611
4,17075.639465059863,17308.752184406927,17245.355519209334,17423.958221553265,17366.752224065145,17101.98525000579,17336.220565085165,17370.696588826588,17235.49477799149,17271.807053320146,17002.663325887723,17172.41048560073,17298.76495835978,17418.395624645527,17610.10658379724
5,16779.541479605043,16970.439625975934,16928.190833755765,17160.188756405754,16924.197816136788,16738.82808905845,16942.677854274694,16974.854600492807,16931.99253021289,17079.674836660277,16645.031248580373,16843.02791342841,16975.916342442135,17114.186835590248,17317.64459236781
6,16488.576518414287,16737.348924848848,16708.172052705104,16887.822200888022,16645.55034015496,16528.589747635095,16673.57096497275,16743.60354733013,16661.96710777952,16700.646357376554,16316.22700798147,16518.21316370047,16668.120541104694,16812.069226690153,17028.65263909437
7,16047.914958259626,16269.265924644442,16348.487123726587,16620.91677344267,16406.675461408347,16302.703371307809,16370.059065965619,16341.94071714751,16221.959187636874,16347.186981767662,15972.633653373154,16198.965830817797,16355.160664406327,16508.04111884403,16742.699533840743
8,15686.451876194047,16129.689980170995,15987.554698101496,16262.448005089738,15954.692677508248,15986.467533657773,16199.797634330742,16085.178060633933,15977.231742382852,15963.025272529969,15646.386019134105,15892.550807119029,16052.846269358997,16210.217552272648,16478.19337311633
9,15433.54713336766,15806.774413960837,15667.92822589086,16055.852039127012,15613.243386600576,15604.800178481251,15899.14234154115,15894.121890193965,15720.201388182084,15719.36141023283,15331.349862930325,15582.580118390051,15753.18048782686,15928.768783013991,16182.30872857684
10,15103.883870730104,15479.101736212455,15370.038173627187,15725.02082535628,15395.43383271873,15304.9813103884,15663.159110170298,15548.362331221935,15398.258378376977,15403.770310192811,15021.19896311545,15275.134443969207,15467.379372479802,15641.35572496393,15899.998727550575
11,14859.898134528354,15256.173180198937,14973.206563465304,15610.043283411494,15091.840184244085,15054.411306262267,15182.253668858288,15367.980961729163,15056.91026806026,15080.931183922696,14734.749280399783,14980.144498253356,15174.905760284708,15366.706107298429,15623.190863699054
12,14620.031516115843,15039.024949196895,14727.055972586837,15298.09460924982,14762.021416784868,14852.89764431796,14813.250659099713,15170.911770662118,14717.483537709468,14888.526244199147,14439.28333755114,14698.718209839484,14890.369854959214,15080.0278134923,15352.73281103648
13,14330.489658003236,14900.147088141182,14459.83585246272,14983.58799532136,14504.470334865178,14623.17845756193,14572.702582540976,14863.604091841537,14387.873347828856,14583.670668254153,14146.728582363692,14414.532512707077,14601.257917727402,14811.265256673732,15108.94995584855
