Date,Balance,days_since_start,fitted_decay,kalman_core,quantile_10,volatility_core_95,hp_trend
2016-12-31,10000.0,0,9612.218451210378,10000.0,9901.546801497196,,9735.728982717068
2017-01-01,9805.490428338524,1,9618.90524730291,9902.261359513388,9904.886084846506,,9749.714004039331
2017-01-02,9666.725902874894,2,9625.589254909493,9822.453105218032,9908.225368195817,,9763.701064489816
2017-01-03,9790.764802317157,3,9632.270475192963,9814.257848738633,9911.564651545128,,9777.692633570383
2017-01-04,9823.080103458042,4,9638.948909315672,9816.12589442295,9914.903934894437,,9791.690432517755
2017-01-05,9857.705993614012,5,9645.62455843949,9823.672552483704,9918.243218243748,,9805.696283434161
2017-01-06,9878.315111927655,6,9652.297423725793,9832.454681576934,9921.582501593059,,9819.71225062608
2017-01-07,9779.91607411131,7,9658.967506335488,9824.793266270823,9924.92178494237,,9833.740799709485
2017-01-08,9679.879175896767,8,9665.634807428984,9805.256421682949,9928.26106829168,,9847.784848482921
2017-01-09,9720.027201442645,9,9672.299328166213,9794.475117514812,9931.600351640991,,9861.846899430695
2017-01-10,9699.437221351252,10,9678.961069706624,9783.060701100369,9934.939634990302,,9875.928159468653
2017-01-11,9674.585102249102,11,9685.620033209178,9770.572386665543,9938.278918339613,,9890.028741224849
2017-01-12,9683.164668811243,12,9692.27621983235,9760.851747210554,9941.618201688922,,9904.147395514541
2017-01-13,9691.541205437265,13,9698.929630734148,9753.35881549266,9944.957485038232,,9918.28121077923
2017-01-14,9595.873656112271,14,9705.580267072079,9736.723508732694,9948.296768387543,,9932.42557034678
2017-01-15,9510.98045073734,15,9712.228130003174,9713.326090484019,9951.636051736854,,9946.57410800799
2017-01-16,9551.56491014066,16,9718.873220683983,9696.818559930254,9954.975335086165,,9960.717860702462
2017-01-17,9678.755302408284,17,9725.515540270573,9694.99852653858,9958.314618435475,,9974.844504307639
2017-01-18,9706.215696382844,18,9732.15508991853,9696.117042065453,9961.653901784786,,9988.938557656587
2017-01-19,10121.525685733206,19,9738.791870782952,9738.17608727896,9964.993185134095,,10002.98225494347
2017-01-20,10240.351540899876,20,9745.425884018463,9787.479127994775,9968.332468483406,,10016.955648858897
2017-01-21,10133.96540386214,21,9752.057130779202,9821.302645652228,9971.671751832717,,10030.839706780445
2017-01-22,10039.14177112627,22,9758.68561221883,9842.468368941136,9975.011035182028,,10044.61711981943
2017-01-23,10163.878204920326,23,9765.311329490516,9873.577611963177,9978.350318531338,,10058.271374810136
2017-01-24,10347.539826089416,24,9771.934283746963,9919.308423461354,9981.68960188065,,10071.785916338786
2017-01-25,10559.755912326063,25,9778.554476140383,9980.943912067956,9985.02888522996,,10085.14500385912
2017-01-26,10695.651424386217,26,9785.171907822512,10049.58122227851,9988.36816857927,,10098.335024555667
2017-01-27,10785.319897762738,27,9791.786579944606,10120.116421252018,9991.70745192858,,10111.346027734164
2017-01-28,10716.022638073542,28,9798.398493657438,10177.165207714144,9995.04673527789,,10124.172671623184
2017-01-29,10589.720901875891,29,9805.007650111302,10216.615339517755,9998.386018627201,,10136.81481486697
2017-01-30,10597.537400447134,30,9811.614050456012,10253.006041375327,10001.725301976512,,10149.276882853326
2017-01-31,10582.133288473284,31,9818.217695840909,10284.424229778522,10005.064585325823,,10161.566795615789
2017-02-01,10319.741494242731,32,9824.81858741484,10287.793442346258,10008.403868675134,,10173.695931988183
2017-02-02,10307.98304206539,33,9831.416726326193,10289.718497208709,10011.743152024444,,10185.678915916158
2017-02-03,10279.797085005182,34,9838.012113722858,10288.772905006155,10015.082435373753,,10197.53149824013
2017-02-04,10200.045671876183,35,9844.604750752254,10280.319419048372,10018.421718723064,,10209.270373505195
2017-02-05,10106.653065336834,36,9851.194638561328,10263.778084720088,10021.761002072375,,10220.91287102177
2017-02-06,10124.89044124474,37,9857.78177829654,10250.55243869239,10025.100285421686,,10232.476248922021
2017-02-07,10127.243960458576,38,9864.366171103873,10238.812574867348,10028.439568770997,,10243.976883703808
2017-02-08,10102.746918845934,39,9870.947818128836,10225.860165990296,10031.778852120307,,10255.430321727586
2017-02-09,10000.444803419765,40,9877.526720516453,10204.40510370661,10035.118135469618,,10266.851208636806
2017-02-10,10005.835215699351,41,9884.102879411283,10185.507183731816,10038.457418818929,,10278.253011962248
2017-02-11,9921.92095578102,42,9890.676295957395,10160.423810043125,10041.796702168238,,10289.64714362971
2017-02-12,9834.2340170537,43,9897.24697129839,10129.385148012378,10045.135985517549,,10301.042913575826
2017-02-13,9845.47941676484,44,9903.814906577383,10102.371594173463,10048.47526886686,,10312.446794343798
2017-02-14,9840.08255076959,45,9910.380102937022,10077.416041558863,10051.81455221617,,10323.861656556326
2017-02-15,9837.683203276054,46,9916.942561519472,10054.607486834828,10055.153835565481,,10335.286767692764
2017-02-16,10079.577715338875,47,9923.502283466427,10056.983117914813,10058.493118914792,,10346.717662368996
2017-02-17,10087.307915084071,48,9930.059269919097,10059.868100006273,10061.832402264103,,10358.146035667227
2017-02-18,10003.293164636283,49,9936.613522018222,10054.485897183571,10065.171685613412,,10369.561521404643
2017-02-19,9925.66968552726,50,9943.165040904067,10042.231302161734,10068.510968962722,,10380.95166359811
2017-02-20,10130.010292531584,51,9949.713827716418,10050.581809042316,10071.850252312033,,10392.301180119779
2017-02-21,10172.890335295231,52,9956.259883594588,10062.217011021696,10075.189535661344,,10403.591275863559
2017-02-22,10213.347201246725,53,9962.803209677411,10076.593878734953,10078.528819010655,,10414.801131873923
2017-02-23,10627.601438040105,54,9969.343807103254,10129.01028115937,10081.868102359966,,10425.908149095489
2017-02-24,10809.85835237983,55,9975.881677010004,10193.77777388189,10085.207385709276,,10436.888174044401
2017-02-25,10714.033695080236,56,9982.41682053507,10243.268249710603,10088.546669058587,,10447.718609512178
2017-02-26,10609.224611577789,57,9988.949238815394,10278.080495051296,10091.885952407896,,10458.379736146655
2017-02-27,10750.869305468128,58,9995.478932987438,10323.055207755673,10095.225235757207,,10468.85388949601
