Date,Balance,trend,residual,quantile_10,fitted_growth
2016-12-31,10000.0,10642.21303023618,-642.2130302361802,9901.546801497196,11372.113761407452
2017-01-01,9805.490428338524,10646.237648486416,-840.7472201478922,9904.886084846506,11374.894976215413
2017-01-02,9666.725902874894,10650.26226673665,-983.5363638617564,9908.225368195817,11377.67687120966
2017-01-03,9790.764802317157,10654.286884986886,-863.5220826697296,9911.564651545128,11380.45944655654
2017-01-04,9823.080103458042,10658.31150323712,-835.2313997790789,9914.903934894437,11383.242702422443
2017-01-05,9857.705993614012,10662.336121487357,-804.6301278733445,9918.243218243748,11386.026638973803
2017-01-06,9878.315111927655,10666.360739737593,-788.0456278099373,9921.582501593059,11388.811256377088
2017-01-07,9779.91607411131,10670.385357987827,-890.4692838765168,9924.92178494237,11391.596554798813
2017-01-08,9679.879175896767,10674.409976238063,-994.5308003412956,9928.26106829168,11394.382534405528
2017-01-09,9720.027201442645,10678.434594488297,-958.4073930456525,9931.600351640991,11397.169195363827
2017-01-10,9699.437221351252,10682.459212738533,-983.0219913872807,9934.939634990302,11399.956537840348
2017-01-11,9674.585102249102,10686.48383098877,-1011.8987287396667,9938.278918339613,11402.744562001762
2017-01-12,9683.164668811243,10690.508449239003,-1007.3437804277601,9941.618201688922,11405.533268014788
2017-01-13,9691.541205437265,10694.53306748924,-1002.9918620519747,9944.957485038232,11408.322656046179
2017-01-14,9595.873656112271,10698.557685739474,-1102.684029627202,9948.296768387543,11411.112726262736
2017-01-15,9510.98045073734,10702.58230398971,-1191.6018532523703,9951.636051736854,11413.903478831293
2017-01-16,9551.56491014066,10706.606922239946,-1155.0420120992858,9954.975335086165,11416.694913918736
2017-01-17,9678.755302408284,10710.63154049018,-1031.8762380818953,9958.314618435475,11419.487031691979
2017-01-18,9706.215696382844,10714.656158740416,-1008.440462357572,9961.653901784786,11422.279832317985
2017-01-19,10121.525685733206,10718.68077699065,-597.1550912574439,9964.993185134095,11425.073315963753
2017-01-20,10240.351540899876,10722.705395240886,-482.35385434101045,9968.332468483406,11427.867482796331
2017-01-21,10133.96540386214,10726.730013491122,-592.7646096289827,9971.671751832717,11430.662332982796
2017-01-22,10039.14177112627,10730.754631741356,-691.6128606150869,9975.011035182028,11433.457866690273
2017-01-23,10163.878204920326,10734.779249991592,-570.9010450712667,9978.350318531338,11436.25408408593
2017-01-24,10347.539826089416,10738.803868241826,-391.2640421524102,9981.68960188065,11439.050985336973
2017-01-25,10559.755912326063,10742.828486492062,-183.07257416599896,9985.02888522996,11441.848570610644
2017-01-26,10695.651424386217,10746.853104742298,-51.20168035608185,9988.36816857927,11444.646840074238
2017-01-27,10785.319897762738,10750.877722992533,34.44217477020538,9991.70745192858,11447.445793895075
2017-01-28,10716.022638073542,10754.902341242769,-38.87970316922656,9995.04673527789,11450.24543224053
2017-01-29,10589.720901875891,10758.926959493003,-169.20605761711158,9998.386018627201,11453.045755278012
2017-01-30,10597.537400447134,10762.951577743239,-165.41417729610475,10001.725301976512,11455.846763174972
2017-01-31,10582.133288473284,10766.976195993475,-184.84290752019115,10005.064585325823,11458.648456098905
2017-02-01,10319.741494242731,10771.00081424371,-451.2593200009778,10008.403868675134,11461.45083421734
2017-02-02,10307.98304206539,10775.025432493945,-467.0423904285544,10011.743152024444,11464.253897697854
2017-02-03,10279.797085005182,10779.05005074418,-499.25296573899686,10015.082435373753,11467.057646708061
2017-02-04,10200.045671876183,10783.074668994415,-583.0289971182319,10018.421718723064,11469.862081415617
2017-02-05,10106.653065336834,10787.099287244651,-680.4462219078177,10021.761002072375,11472.66720198822
2017-02-06,10124.89044124474,10791.123905494886,-666.2334642501464,10025.100285421686,11475.473008593608
2017-02-07,10127.243960458576,10795.148523745122,-667.9045632865455,10028.439568770997,11478.27950139956
2017-02-08,10102.746918845934,10799.173141995356,-696.4262231494213,10031.778852120307,11481.086680573895
2017-02-09,10000.444803419765,10803.197760245592,-802.7529568258269,10035.118135469618,11483.894546284479
2017-02-10,10005.835215699351,10807.222378495828,-801.3871627964763,10038.457418818929,11486.70309869921
2017-02-11,9921.92095578102,10811.246996746062,-889.3260409650411,10041.796702168238,11489.512337986034
2017-02-12,9834.2340170537,10815.271614996298,-981.0375979425971,10045.135985517549,11492.32226431293
2017-02-13,9845.47941676484,10819.296233246532,-973.8168164816925,10048.47526886686,11495.13287784793
2017-02-14,9840.08255076959,10823.320851496768,-983.2383007271783,10051.81455221617,11497.944178759099
2017-02-15,9837.683203276054,10827.345469747004,-989.6622664709503,10055.153835565481,11500.756167214544
2017-02-16,10079.577715338875,10831.370087997238,-751.7923726583631,10058.493118914792,11503.568843382413
2017-02-17,10087.307915084071,10835.394706247474,-748.0867911634032,10061.832402264103,11506.382207430896
2017-02-18,10003.293164636283,10839.419324497709,-836.1261598614255,10065.171685613412,11509.196259528228
2017-02-19,9925.66968552726,10843.443942747945,-917.7742572206844,10068.510968962722,11512.010999842676
2017-02-20,10130.010292531584,10847.46856099818,-717.4582684665966,10071.850252312033,11514.826428542558
2017-02-21,10172.890335295231,10851.493179248415,-678.6028439531838,10075.189535661344,11517.642545796223
2017-02-22,10213.347201246725,10855.51779749865,-642.1705962519263,10078.528819010655,11520.459351772073
2017-02-23,10627.601438040105,10859.542415748885,-231.94097770878034,10081.868102359966,11523.276846638542
2017-02-24,10809.85835237983,10863.567033999121,-53.70868161929138,10085.207385709276,11526.095030564109
2017-02-25,10714.033695080236,10867.591652249357,-153.55795716912144,10088.546669058587,11528.913903717294
2017-02-26,10609.224611577789,10871.616270499591,-262.39165892180245,10091.885952407896,11531.733466266653
2017-02-27,10750.869305468128,10875.640888749827,-124.77158328169935,10095.225235757207,11534.553718380792
2017-02-28,10969.76592156215,10879.665507000063,90.10041456208637,10098.564519106518,11537.374660228354
