Bucket,Midpoint_Years,S(t_start),S(t_end),Marginal_Decay,Core_CF,Non_Core_CF,Total_CF,Model,CF_Percent
O/N,0.0027397260273972603,1.0,0.981447788768573,0.01855221123142703,289.16169771829624,3065.331089785541,3354.492787503837,Exponential,17.98491248079168
1M,0.0417,0.981447788768573,0.5701853128223442,0.4112624759462288,6410.090650056387,0.0,6410.090650056387,Exponential,34.36731769543962
2M,0.125,0.5701853128223442,0.3251112909583145,0.2450740218640297,3819.8152955917317,0.0,3819.8152955917317,Exponential,20.479711281516096
3M,0.2083,0.3251112909583145,0.1853736831371427,0.13973760782117178,2178.0025792405463,0.0,2178.0025792405463,Exponential,11.677230583562544
6M,0.375,0.1853736831371427,0.03436340239982978,0.15101028073731293,2353.702672215593,0.0,2353.702672215593,Exponential,12.619236125143859
9M,0.625,0.03436340239982978,0.006370070467980174,0.027993331931849608,436.31453335833936,0.0,436.31453335833936,Exponential,2.3392742788952026
1Y,0.875,0.006370070467980174,0.001075296717253016,0.005294773750727158,82.52632247960713,0.0,82.52632247960713,Exponential,0.44245994288208845
2Y,1.5,0.001075296717253016,1.156263030135113e-06,0.0010741404542228808,16.74195455498265,0.0,16.74195455498265,Exponential,0.08976098817395661
3Y,2.5,1.156263030135113e-06,1.243325840585312e-09,1.1550197042945276e-06,0.01800256877337203,0.0,0.01800256877337203,Exponential,9.651969592084237e-05
4Y,3.5,1.243325840585312e-09,1.336944194857233e-12,1.2419888963904547e-09,1.9358103104128598e-05,0.0,1.9358103104128598e-05,Exponential,1.037873121739411e-07
5Y,4.5,1.336944194857233e-12,1.437611703880459e-15,1.3355065831533524e-12,2.083811187340613e-08,0.0,2.083811187340613e-08,Exponential,1.1172229068557105e-10
O/N,0.0027397260273972603,1.0,0.9521048267702117,0.04789517322978831,746.5120696867027,3065.331089785541,3811.8431594722433,Weibull,20.43696915044696
1M,0.0417,0.9521048267702117,0.87390311706731,0.07820170970290163,1218.8810735325494,0.0,1218.8810735325494,Weibull,6.534957986387156
2M,0.125,0.87390311706731,0.8473862976110846,0.026516819456225416,413.30105810044176,0.0,413.30105810044176,Weibull,2.215888907510892
3M,0.2083,0.8473862976110846,0.8296157500004318,0.017770547610652887,276.9783963959829,0.0,276.9783963959829,Weibull,1.485003108907737
6M,0.375,0.8296157500004318,0.7949352773769053,0.03468047262352647,540.5428073449356,0.0,540.5428073449356,Weibull,2.898087937000516
9M,0.625,0.7949352773769053,0.7719262315399099,0.023009045836995368,358.62758752083835,0.0,358.62758752083835,Weibull,1.9227603644839732
1Y,0.875,0.7719262315399099,0.7534323989691553,0.018493832570754654,288.25178609536533,0.0,288.25178609536533,Weibull,1.54544471362978
2Y,1.5,0.7534323989691553,0.7062132518086828,0.047219147160472486,735.975274721041,0.0,735.975274721041,Weibull,3.94588742393276
3Y,2.5,0.7062132518086828,0.6754637100453215,0.03074954176336131,479.27384986276223,0.0,479.27384986276223,Weibull,2.5695980853570433
4Y,3.5,0.6754637100453215,0.652231356985912,0.023232353059409516,362.10813734536003,0.0,362.10813734536003,Weibull,1.9414211242304973
5Y,4.5,0.652231356985912,0.6334081630212904,0.01882319396462151,10165.921686557218,0.0,10165.921686557218,Weibull,54.50398119811268
O/N,0.0027397260273972603,1.0,1.0,0.0,0.0,3065.331089785541,3065.331089785541,KaplanMeier,16.434589330408475
1M,0.0417,1.0,0.8818450023638388,0.11815499763616122,1841.607950889293,0.0,1841.607950889293,KaplanMeier,9.873670900130428
2M,0.125,0.8818450023638388,0.8670176299790112,0.014827372384827564,231.1049673817415,0.0,231.1049673817415,KaplanMeier,1.2390554624890762
3M,0.2083,0.8670176299790112,0.8472719298842176,0.019745700094793595,307.7638611819348,0.0,307.7638611819348,KaplanMeier,1.6500575373800193
6M,0.375,0.8472719298842176,0.8449006108204274,0.002371319063790178,36.96026515458046,0.0,36.96026515458046,KaplanMeier,0.19816025139425755
