Bucket,Start_Days,End_Days,Midpoint_Years,S(t_start),S(t_end),Marginal_Decay,Core_CF,Non_Core_CF,Total_CF,CF_Percent
O/N,0,1,0.0027397260273972603,1.0,1.0,0.0,0.0,3065.33108978553,3065.33108978553,16.434589330408418
1M,1,30,0.0417,1.0,0.8818450023638388,0.11815499763616122,1841.6079508892942,0.0,1841.6079508892942,9.873670900130435
2M,30,60,0.125,0.8818450023638388,0.8670176299790112,0.014827372384827564,231.10496738174163,0.0,231.10496738174163,1.2390554624890768
3M,60,90,0.2083,0.8670176299790112,0.8472719298842176,0.019745700094793595,307.76386118193494,0.0,307.76386118193494,1.65005753738002
6M,90,180,0.375,0.8472719298842176,0.8449006108204274,0.002371319063790178,36.96026515458049,0.0,36.96026515458049,0.19816025139425766
9M,180,270,0.625,0.8449006108204274,0.7657180514658745,0.07918255935455298,1234.168962773346,0.0,1234.168962773346,6.616923090332532
1Y,270,365,0.875,0.7657180514658745,0.7330757674140038,0.03264228405187064,508.77483854067515,0.0,508.77483854067515,2.72776587198803
2Y,365,730,1.5,0.7330757674140038,0.685020282812528,0.048055484601475795,749.0107426385384,0.0,749.0107426385384,4.01577630564856
3Y,730,1095,2.5,0.685020282812528,0.6802425067047546,0.004777776107773413,74.46820400046762,0.0,74.46820400046762,0.39925682253344813
4Y,1095,1460,3.5,0.6802425067047546,0.5477085399992082,0.1325339667055464,2065.723936616052,0.0,2065.723936616052,11.075255355418964
5Y,1460,1825,4.5,0.5477085399992082,0.4652877030974298,0.08242083690177843,8536.78999798658,0.0,8536.78999798658,45.76948907227627
