Tenor,Days,Years,S(t)_Recommended,S(t)_Exponential,S(t)_Weibull,S(t)_KaplanMeier,S(t)_LogNormal,S(t)_LogLogistic,S(t)_Flat
O/N,0,0.0,1.0,1.0,1.0,1.0,0.9999987912453423,1.0,0.8356541066959153
1M,30,0.0821917808219178,0.8818450023638388,0.5701853128223442,0.87390311706731,0.8818450023638388,0.8982467279572859,0.813356211959136,0.8356541066959153
2M,60,0.1643835616438356,0.8670176299790112,0.3251112909583145,0.8473862976110846,0.8670176299790112,0.8713918507515834,0.7852170248856615,0.8356541066959153
3M,90,0.2465753424657534,0.8472719298842176,0.1853736831371427,0.8296157500004318,0.8472719298842176,0.8535777677161032,0.767382882719135,0.8356541066959153
6M,180,0.4931506849315068,0.8449006108204274,0.03436340239982978,0.7949352773769053,0.8449006108204274,0.8194504243434151,0.7345744280886035,0.8356541066959153
9M,270,0.7397260273972602,0.7657180514658745,0.006370070467980174,0.7719262315399099,0.7657180514658745,0.7973462258300554,0.7140665046943585,0.8356541066959153
1Y,365,1.0,0.7330757674140038,0.0010752967172530162,0.7534323989691553,0.7330757674140038,0.7799086020199627,0.6982180266309124,0.8356541066959153
2Y,730,2.0,0.685020282812528,1.156263030135113e-06,0.7062132518086828,0.685020282812528,0.7367164770399905,0.6599769291537474,0.8356541066959153
3Y,1095,3.0,0.6802425067047546,1.2433258405853121e-09,0.6754637100453215,0.6802425067047546,0.7095813556009141,0.6365569807789422,0.8356541066959153
4Y,1460,4.0,0.5477085399992082,1.3369441948572331e-12,0.652231356985912,0.5477085399992082,0.689567821031343,0.6195305707332593,0.8356541066959153
5Y,1825,5.0,0.46528770309742984,1.4376117038804594e-15,0.6334081630212904,0.46528770309742984,0.673643694205203,0.6061158513018069,0.8356541066959153
