Tenor,Tenor_Years,Base (bps),(a)+200 Par,(b)-200 Par,(c) Steepener,(d) Flattener
1D,0.0027397260273972,317.8,517.8,117.8,517.7,517.5
1M,0.0833333333333333,318.3,518.3,118.3,515.0,510.0
2M,0.1666666666666666,319.6,519.6,119.6,512.9,502.9
3M,0.25,320.9,520.9,120.9,510.9,495.9
6M,0.5,321.7,521.7,121.7,501.7,471.7
9M,0.75,318.7,518.7,118.7,488.7,443.7
1Y,1.0,313.5,513.5,113.5,473.5,413.5
2Y,2.0,287.4,487.4,87.4,407.4,287.4
3Y,3.0,272.6,472.6,72.6,352.6,239.2
4Y,4.0,266.1,466.1,66.1,306.1,199.4
5Y,5.0,263.6,463.6,63.6,263.6,163.6
6Y,6.0,262.8,462.8,62.8,262.8,129.4
7Y,7.0,262.7,462.7,62.7,262.7,96.0
8Y,8.0,263.0,463.0,63.0,263.0,63.0
9Y,9.0,263.5,463.5,63.5,263.5,30.2
10Y,10.0,264.1,464.1,64.1,264.1,0.0
