Days,Years,S(t),Cumulative_Decay
0,0.0,1.0,0.0
1,0.0027397260273972603,0.981447788768573,0.01855221123142703
2,0.005479452054794521,0.9632397620787214,0.03676023792127858
3,0.00821917808219178,0.9453695345461275,0.05463046545387251
4,0.010958904109589041,0.9278308392494719,0.07216916075052815
5,0.0136986301369863,0.9106175255326835,0.08938247446731651
6,0.01643835616438356,0.8937235568479617,0.10627644315203832
7,0.019178082191780823,0.877143008638816,0.122856991361184
8,0.021917808219178082,0.8608700662623793,0.13912993373762073
9,0.024657534246575342,0.8448990229502671,0.1551009770497329
10,0.0273972602739726,0.8292242778072674,0.17077572219273263
11,0.030136986301369864,0.8138403338471595,0.18615966615284052
12,0.03287671232876712,0.7987417960649719,0.20125820393502813
13,0.03561643835616438,0.7839233695450051,0.21607663045499492
14,0.038356164383561646,0.7693798576039541,0.2306201423960459
15,0.0410958904109589,0.7551061599684803,0.2448938400315197
16,0.043835616438356165,0.7410972709865933,0.2589027290134067
17,0.04657534246575343,0.7273482778722159,0.2726517221277841
18,0.049315068493150684,0.7138543589823159,0.28614564101768414
19,0.052054794520547946,0.700610782126001,0.29938921787399897
20,0.0547945205479452,0.6876129029049841,0.3123870970950159
21,0.057534246575342465,0.6748561630848362,0.3251438369151638
22,0.06027397260273973,0.6623360889964559,0.3376639110035441
23,0.06301369863013699,0.6500482899671964,0.34995171003280356
24,0.06575342465753424,0.6379884567810971,0.36201154321890294
25,0.0684931506849315,0.6261523601676819,0.37384763983231806
26,0.07123287671232877,0.6145358493187946,0.38546415068120543
27,0.07397260273972603,0.6031348504329479,0.3968651495670521
28,0.07671232876712329,0.5919453652866807,0.40805463471331926
29,0.07945205479452055,0.580963469832418,0.419036530167582
30,0.0821917808219178,0.5701853128223442,0.4298146871776558
31,0.08493150684931507,0.5596071144578068,0.44039288554219325
32,0.08767123287671233,0.5492251650637762,0.45077483493622383
33,0.09041095890410959,0.5390358237878976,0.4609641762121024
34,0.09315068493150686,0.5290355173236783,0.47096448267632174
35,0.0958904109589041,0.5192207386573621,0.48077926134263793
36,0.09863013698630137,0.5095880458380532,0.49041195416194683
37,0.10136986301369863,0.5001340607706555,0.4998659392293445
38,0.10410958904109589,0.4908554680312069,0.5091445319687931
39,0.10684931506849316,0.481749013704191,0.518250986295809
40,0.1095890410958904,0.47281150424141916,0.5271884957585808
41,0.11232876712328767,0.4640398053420836,0.5359601946579164
42,0.11506849315068493,0.455430840853587,0.544569159146413
43,0.1178082191780822,0.4469815916927648,0.5530184083072351
44,0.12054794520547946,0.4386890947871212,0.5613109052128789
45,0.1232876712328767,0.43055044203570697,0.5694495579642931
46,0.12602739726027398,0.42256277928927627,0.5774372207107237
47,0.12876712328767123,0.41472330534936275,0.5852766946506373
48,0.13150684931506848,0.40702927098592573,0.5929707290140742
49,0.13424657534246576,0.3994779779732211,0.6005220220267788
50,0.136986301369863,0.39206677814355856,0.6079332218564415
51,0.13972602739726028,0.3847930724586142,0.6152069275413858
52,0.14246575342465753,0.3776543100979722,0.6223456899020279
53,0.14520547945205478,0.3706479875645758,0.6293520124354242
54,0.14794520547945206,0.3637716478067744,0.6362283521932256
55,0.1506849315068493,0.3570228793566589,0.6429771206433411
56,0.15342465753424658,0.35039931548438186,0.6496006845156181
57,0.15616438356164383,0.34389863336816817,0.6561013666318318
58,0.1589041095890411,0.3375185532797228,0.6624814467202772
59,0.16164383561643836,0.33125683778475173,0.6687431622152482
60,0.1643835616438356,0.3251112909583145,0.6748887090416855
61,0.16712328767123288,0.3190797576147339,0.680920242385266
62,0.16986301369863013,0.3131601225517928,0.6868398774482072
63,0.1726027397260274,0.3073503098089524,0.6926496901910476
64,0.17534246575342466,0.30164828193933213,0.6983517180606679
65,0.1780821917808219,0.2960520392951966,0.7039479607048034
66,0.18082191780821918,0.2905596193266974,0.7094403806733026
67,0.18356164383561643,0.2851690958936255,0.7148309041063745
68,0.1863013698630137,0.27987857858993187,0.7201214214100682
69,0.18904109589041096,0.27468621208077987,0.7253137879192202
70,0.1917808219178082,0.2695901754518967,0.7304098245481033
71,0.19452054794520549,0.26458868157099563,0.7354113184290043
72,0.19726027397260273,0.25967997646104574,0.7403200235389542
73,0.2,0.25486233868516844,0.7451376613148315
74,0.20273972602739726,0.2501340787429457,0.7498659212570543
75,0.2054794520547945,0.24549353847792815,0.7545064615220718
76,0.20821917808219179,0.24093909049613516,0.7590609095038648
77,0.21095890410958903,0.23646913759534297,0.7635308624046571
78,0.2136986301369863,0.23208211220496078,0.7679178877950392
79,0.21643835616438356,0.2277764758362986,0.7722235241637014
80,0.2191780821917808,0.22355071854303354,0.7764492814569665
