Tenor,Days,Years,S(t)_Recommended,S(t)_Exponential,S(t)_Weibull,S(t)_Portfolio_KM,S(t)_LogNormal,S(t)_LogLogistic,S(t)_Flat
O/N,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8356541066959159
1M,30,0.0821917808219178,0.8818450023638388,0.9169399338124197,0.8759386711016283,0.8818450023638388,0.9504298928295989,0.9481303244944493,0.8356541066959159
2M,60,0.1643835616438356,0.8670176299790112,0.8407788422199245,0.7776159015078418,0.8670176299790112,0.8402479696365508,0.8535902505237987,0.8356541066959159
3M,90,0.2465753424657534,0.8472719298842176,0.7709436959360204,0.6934999211222928,0.8472719298842176,0.730118105070304,0.7492462536857815,0.8356541066959159
6M,180,0.4931506849315068,0.8449006108204274,0.5943541823034911,0.49907760109673494,0.8449006108204274,0.4838917183748467,0.4879725180936696,0.8356541066959159
9M,270,0.7397260273972602,0.7657180514658745,0.45821361000008476,0.36373742602471093,0.7657180514658745,0.33625862099179016,0.3281498511383247,0.8356541066959159
1Y,365,1.0,0.7330757674140038,0.3481882628602799,0.26272438606569587,0.7330757674140038,0.23979794927933717,0.22906923203337892,0.8356541066959159
2Y,730,2.0,0.685020282812528,0.12123506639365934,0.07901466208245081,0.685020282812528,0.08683408413916882,0.08656711906450763,0.8356541066959159
3Y,1095,3.0,0.6802425067047546,0.04221262716535894,0.024888265259734917,0.6802425067047546,0.040682648434687274,0.04632082891153247,0.8356541066959159
4Y,1460,4.0,0.5477085399992082,0.014697941323474987,0.00807034451394287,0.5477085399992082,0.02200109167344877,0.02934054361592188,0.8356541066959159
5Y,1825,5.0,0.46528770309742984,0.005117650657043078,0.0026727456880288936,0.46528770309742984,0.013058455912780875,0.02049477428930752,0.8356541066959159
